question,option,input_type,input_id,dependence,dependence_value,required
Qual seu Nome?,Sua resposta,text,q1,NA,NA,T
Qua seu gênero?,Masculino,mc,q2,NA,NA,T
Qua seu gênero?,Femino,mc,q2,NA,NA,T
Qua seu gênero?,Outro,mc,q2,NA,NA,T
Qual sua raça/cor?,Branco(a),mc,q3,NA,NA,T
Qual sua raça/cor?,Preto(a)/Pardo(a),mc,q3,NA,NA,T
Qual sua raça/cor?,Amarelo(a),mc,q3,NA,NA,T
Sua idade:,25,numeric,q4,NA,NA,T
Sua Renda familiar:,"Abaixo de R$ 1.000,00",mc,q5,NA,NA,T
Sua Renda familiar:,"De R$ 1.000,00 a R$ 1.999,00",mc,q5,NA,NA,T
Sua Renda familiar:,"De R$ 2.000,00 a 2.999,00",mc,q5,NA,NA,T
Sua Renda familiar:,"De R$ 3.000,00 a R$ 3.999,00",mc,q5,NA,NA,T
Sua Renda familiar:,"De R$ 4.000,00a R$ 4.999,00",mc,q5,NA,NA,T
Sua Renda familiar:,"De R$ 5.000,00 a 5.999,00",mc,q5,NA,NA,T
Sua Renda familiar:,"De R$ 6.000,00 a R$ 6.999,00",mc,q5,NA,NA,T
Sua Renda familiar:,"Igual ou acima de R$ 7.000,00",mc,q5,NA,NA,T
Sua escolaridade:,Sem escolaridade,mc,q6,NA,NA,T
Sua escolaridade:,Ensino fundamental incompleto,mc,q6,NA,NA,T
Sua escolaridade:,Ensino fundamental completo,mc,q6,NA,NA,T
Sua escolaridade:,Ensino médio incompleto,mc,q6,NA,NA,T
Sua escolaridade:,Ensino médio completo,mc,q6,NA,NA,T
Sua escolaridade:,Ensino superior incompleto,mc,q6,NA,NA,T
Sua escolaridade:,Ensino superior completo,mc,q6,NA,NA,T
"Em relação ao seu familiar que faz uso de droga, você é:",Mãe,mc,q7,NA,NA,T
"Em relação ao seu familiar que faz uso de droga, você é:",Pai,mc,q7,NA,NA,T
"Em relação ao seu familiar que faz uso de droga, você é:",Esposo(a)/companheiro(a),mc,q7,NA,NA,T
"Em relação ao seu familiar que faz uso de droga, você é:",Avô(ó),mc,q7,NA,NA,T
"Em relação ao seu familiar que faz uso de droga, você é:",Neto(a),mc,q7,NA,NA,T
"Em relação ao seu familiar que faz uso de droga, você é:",Tio(a),mc,q7,NA,NA,T
"Em relação ao seu familiar que faz uso de droga, você é:",Sobrinho(a),mc,q7,NA,NA,T
"Em relação ao seu familiar que faz uso de droga, você é:",Primo(a),mc,q7,NA,NA,T
"Em relação ao seu familiar que faz uso de droga, você é:",Padrato/Madrasta,mc,q7,NA,NA,T
"Em relação ao seu familiar que faz uso de droga, você é:",Filho(a),mc,q7,NA,NA,T
"Em relação ao seu familiar que faz uso de droga, você é:",Outro,mc,q7,NA,NA,T
"Em relação ao seu familiar que faz uso de droga, você é:",Sua resposta,text,q8,q7,Outro,F
Tipo(s) de droga(s) utilizada(s) pelo familiar,Álcool,mc,q9.0,NA,NA,F
Tipo(s) de droga(s) utilizada(s) pelo familiar,Anfetamina,mc,q9.0,NA,NA,F
Tipo(s) de droga(s) utilizada(s) pelo familiar,Cocaína,mc,q9.0,NA,NA,F
Tipo(s) de droga(s) utilizada(s) pelo familiar,Crack,mc,q9.0,NA,NA,F
Tipo(s) de droga(s) utilizada(s) pelo familiar,Êxtase,mc,q9.0,NA,NA,F
Tipo(s) de droga(s) utilizada(s) pelo familiar,Heroína,mc,q9.0,NA,NA,F
Tipo(s) de droga(s) utilizada(s) pelo familiar,LSD,mc,q9.0,NA,NA,F
Tipo(s) de droga(s) utilizada(s) pelo familiar,Maconha,mc,q9.0,NA,NA,F
Tipo(s) de droga(s) utilizada(s) pelo familiar,Tabaco,mc,q9.0,NA,NA,F
Tipo(s) de droga(s) utilizada(s) pelo familiar,Outro.,mc,q9.0,NA,NA,F
Tipo(s) de droga(s) utilizada(s) pelo familiar,"Caso o familiar utilize mais de uma droga, especifique aqui:",text,q9.0.1,q9.0,Outro.,F
ESCALA DE ESTIGMA DE CORTESIA ENTRE FAMILIARES DE USUÁRIOS DE DROGAS( ECOFAD),Discordo totalmente (1),matrix,q9.0.2,NA,NA,F
ESCALA DE ESTIGMA DE CORTESIA ENTRE FAMILIARES DE USUÁRIOS DE DROGAS( ECOFAD),Discordo Parcialmente (2),matrix,q9.0.2,NA,NA,F
ESCALA DE ESTIGMA DE CORTESIA ENTRE FAMILIARES DE USUÁRIOS DE DROGAS( ECOFAD),Nem concordo nem discordo (3),matrix,q9.0.2,NA,NA,F
ESCALA DE ESTIGMA DE CORTESIA ENTRE FAMILIARES DE USUÁRIOS DE DROGAS( ECOFAD),Concordo parcialmente (4),matrix,q9.0.2,NA,NA,F
ESCALA DE ESTIGMA DE CORTESIA ENTRE FAMILIARES DE USUÁRIOS DE DROGAS( ECOFAD),Concordo totalmente (5),matrix,q9.0.2,NA,NA,F
Eu me preocuparia se as pessoas descobrissem que eu tenho um familiar que faz uso de drogas,Discordo totalmente (1),matrix,q9,NA,NA,T
Eu me preocuparia se as pessoas descobrissem que eu tenho um familiar que faz uso de drogas,Discordo Parcialmente (2),matrix,q9,NA,NA,T
Eu me preocuparia se as pessoas descobrissem que eu tenho um familiar que faz uso de drogas,Nem concordo nem discordo (3),matrix,q9,NA,NA,T
Eu me preocuparia se as pessoas descobrissem que eu tenho um familiar que faz uso de drogas,Concordo parcialmente (4),matrix,q9,NA,NA,T
Eu me preocuparia se as pessoas descobrissem que eu tenho um familiar que faz uso de drogas,Concordo totalmente (5),matrix,q9,NA,NA,T
"Eu tenho receio de ser rejeitado pelas pessoas no meu trabalho, se elas descorirem que eu tenho um familiar que faz uso de drogas",Discordo totalmente (1),matrix,q10,NA,NA,T
"Eu tenho receio de ser rejeitado pelas pessoas no meu trabalho, se elas descorirem que eu tenho um familiar que faz uso de drogas",Discordo Parcialmente (2),matrix,q10,NA,NA,T
"Eu tenho receio de ser rejeitado pelas pessoas no meu trabalho, se elas descorirem que eu tenho um familiar que faz uso de drogas",Nem concordo nem discordo (3),matrix,q10,NA,NA,T
